100 957228
25 15 29
12 43 4
24 18 31
19 17 29
31 3 29
12 24 49
1 35 34
35 33 9
20 28 13
20 15 3
26 20 32
36 33 11
7 50 49
20 20 31
19 33 2
19 30 29
32 34 14
7 13 49
27 12 29
32 1 46
1 35 34
17 24 25
20 14 48
20 26 31
44 32 5
22 8 27
20 15 22
31 20 20
25 17 29
31 15 34
35 33 11
14 32 32
31 10 24
19 33 27
20 30 21
19 33 2
31 1 29
22 25 27
32 11 32
32 18 15
12 43 22
31 20 13
9 21 49
20 15 4
5 46 49
8 18 31
23 35 12
31 20 1
32 14 34
20 15 22
26 33 4
25 20 20
7 1 49
16 29 29
9 21 49
20 13 28
31 21 24
26 33 11
20 32 20
31 22 25
26 33 13
9 23 32
12 43 23
20 28 27
21 35 12
31 15 24
5 21 35
25 14 29
26 26 12
20 32 23
26 6 32
43 21 14
7 3 49
20 16 21
3 33 29
20 16 25
40 32 9
15 21 35
15 29 29
4 32 41
20 23 25
35 33 13
27 21 29
13 33 27
26 13 32
25 26 20
20 11 52
23 23 32
20 28 12
20 15 49
26 26 20
19 3 29
23 21 35
20 7 23
11 35 34
4 67 46
14 24 25
32 14 12
20 19 28
19 16 29
