100 970257
12 23 31
18 12 31
58 10 6
17 27 24
21 3 35
30 17 22
14 52 25
28 28 13
4 55 41
21 10 35
7 10 59
21 25 21
42 10 39
21 16 21
21 20 22
40 9 41
28 28 6
33 28 3
16 10 53
33 25 8
21 4 35
21 31 27
23 28 23
18 42 13
30 28 21
29 17 30
20 7 31
21 28 28
13 25 27
16 28 28
33 10 35
16 28 21
20 35 10
18 20 25
7 28 23
21 28 15
14 26 35
15 4 41
20 8 41
31 23 26
20 28 31
34 17 15
18 30 31
14 20 59
21 4 100
15 17 41
33 10 35
24 27 24
15 34 36
13 17 35
20 25 27
14 34 34
33 28 4
79 28 5
21 7 22
33 28 14
14 3 35
21 31 3
15 34 5
21 22 20
20 18 41
21 2 21
26 28 9
21 18 32
30 17 19
21 23 22
47 17 16
21 18 20
21 22 28
4 28 45
9 23 26
28 23 11
40 23 15
21 22 30
28 28 22
21 41 22
34 17 20
42 10 14
17 28 21
21 25 22
20 7 41
21 8 78
6 45 24
21 28 22
21 31 5
14 18 34
21 28 2
14 16 35
28 28 4
41 18 24
18 20 34
20 4 41
26 28 23
26 28 13
21 18 5
18 42 15
47 17 8
16 28 16
28 23 20
21 23 21
