100 959467
23 41 18
44 20 9
37 7 39
25 30 25
29 5 33
36 27 7
20 30 25
23 3 28
3 39 36
27 11 39
5 41 28
28 10 28
31 20 28
36 83 5
36 17 4
36 2 25
20 29 27
36 11 40
36 56 7
11 30 25
20 22 39
3 39 13
27 27 7
36 6 36
29 33 3
37 12 23
20 47 10
24 31 9
16 17 36
17 29 27
25 27 23
2 41 23
23 18 28
2 41 28
15 39 13
13 20 40
29 28 7
5 30 25
23 41 19
36 20 20
36 11 11
36 8 23
18 41 18
20 12 49
11 17 30
25 14 23
36 17 9
36 14 23
23 20 30
27 21 2
28 29 20
17 28 26
6 23 23
8 29 31
20 17 36
31 20 12
28 29 11
20 17 36
36 12 31
24 2 27
12 39 36
11 30 25
29 20 29
12 28 26
30 21 25
36 20 10
28 20 28
27 27 19
36 7 59
23 21 30
20 24 39
30 23 23
24 28 27
36 11 8
32 40 12
6 41 28
23 20 28
26 39 13
6 21 25
26 17 30
29 6 36
27 21 7
36 17 5
15 59 12
17 29 23
7 20 29
37 1 39
20 1 39
37 5 39
24 1 27
17 40 12
16 17 36
20 29 23
5 41 31
49 19 12
27 21 29
36 8 36
36 17 10
12 31 36
28 11 28
