100 965029
51 8 43
15 23 23
57 8 37
19 28 23
22 3 32
23 33 21
6 15 37
14 32 16
4 36 42
43 11 5
32 36 12
11 23 23
6 24 18
6 8 43
47 11 28
25 36 18
29 23 21
14 15 37
33 22 14
31 11 42
21 16 36
22 35 5
15 32 32
12 26 33
43 89 1
2 30 25
23 22 28
18 29 20
32 16 30
57 8 33
29 23 23
21 20 36
32 23 18
14 29 20
9 23 37
35 30 12
21 36 6
12 11 42
29 9 21
20 23 23
14 32 37
23 4 21
17 32 32
23 26 27
22 28 16
10 11 51
1 37 26
11 29 34
25 2 18
36 24 18
25 9 18
34 28 14
24 22 30
22 21 37
3 37 26
23 26 6
43 11 13
43 11 11
25 6 26
16 25 34
15 28 37
43 22 18
19 23 37
43 11 18
57 8 24
22 4 32
27 25 17
25 2 26
10 22 28
43 15 10
8 30 25
47 11 23
32 3 34
43 32 12
32 3 30
1 37 21
32 24 18
14 37 26
23 15 37
25 10 25
43 5 47
11 23 23
57 11 18
29 32 16
29 32 16
25 20 25
19 37 21
15 28 23
8 28 37
43 11 20
57 11 9
27 25 17
25 20 26
11 35 34
35 26 4
25 9 26
32 17 30
1 24 18
57 92 3
22 28 16
