100 977081
35 44 11
1 29 30
30 19 21
37 15 8
17 33 21
29 1 28
25 12 51
20 30 11
14 25 28
17 20 33
32 15 33
11 26 22
12 40 27
26 12 27
16 23 30
3 33 27
33 16 29
1 25 28
4 15 33
24 29 24
8 47 5
3 29 27
45 20 11
2 45 41
17 33 27
34 6 30
23 33 18
8 2 45
20 2 30
31 12 36
18 30 28
45 3 41
18 25 28
24 27 21
21 20 33
37 12 20
6 15 41
47 12 23
27 15 27
8 47 46
13 35 39
32 6 21
40 34 11
33 11 27
31 23 22
27 18 27
24 33 18
10 29 28
47 12 28
8 4 45
20 28 30
35 8 11
21 30 20
33 18 22
45 48 5
15 37 30
4 29 27
8 53 6
14 25 28
30 14 21
26 17 27
14 23 30
24 12 49
45 28 11
47 11 22
15 3 30
34 35 9
2 30 41
3 41 11
37 12 29
12 40 29
22 26 22
16 23 22
13 33 21
1 15 33
40 7 11
20 12 51
8 53 34
57 23 11
33 6 29
57 24 11
14 41 11
6 29 30
14 44 22
30 17 30
19 29 28
3 29 30
8 53 15
21 30 12
35 36 11
33 18 29
8 27 21
45 48 8
47 10 22
31 12 13
8 47 47
21 30 9
8 47 45
9 20 39
45 15 21
