100 952601
22 30 8
11 22 54
13 32 35
22 11 42
35 12 21
22 3 34
16 52 18
17 14 45
22 27 27
19 20 27
13 23 37
51 12 23
13 22 35
3 45 45
15 6 37
16 36 25
12 29 32
16 36 20
22 7 27
25 24 13
22 5 27
14 24 35
22 42 2
13 20 37
51 12 31
22 31 25
35 25 21
1 54 11
22 8 34
15 17 32
51 42 5
13 3 37
32 17 26
10 46 37
41 42 1
11 32 54
25 24 22
24 30 11
1 54 35
19 20 27
22 28 11
45 1 45
8 46 18
41 2 27
16 19 36
22 12 34
5 46 18
43 1 11
24 11 35
16 28 35
39 14 35
15 28 37
32 29 5
22 28 24
16 10 45
38 27 18
23 28 21
8 29 37
3 28 35
22 31 9
22 3 34
22 28 10
11 16 35
42 28 10
22 28 32
17 32 17
17 32 23
12 46 18
6 37 21
22 30 29
22 31 8
41 5 21
32 17 11
27 17 32
23 28 14
10 42 10
43 2 11
24 13 35
15 46 18
24 30 24
20 29 32
22 30 15
22 28 18
22 30 14
17 32 5
16 2 54
28 16 35
38 19 18
22 16 22
10 42 39
22 10 34
1 54 35
22 15 34
8 17 37
22 21 34
16 33 36
42 17 13
22 26 22
22 1 27
15 12 37
