100 961681
31 20 19
31 20 13
35 23 21
14 25 48
41 26 6
4 49 46
13 25 33
17 19 48
24 34 19
13 29 28
11 17 31
21 21 36
26 5 29
35 33 13
35 17 1
29 38 1
35 17 11
17 32 23
29 27 21
7 26 48
21 28 28
27 5 28
14 28 27
41 11 39
35 14 13
17 32 25
13 17 43
24 17 24
35 17 25
35 24 4
26 30 3
28 5 15
26 25 19
27 24 19
15 29 30
10 22 39
1 49 39
35 39 9
26 25 10
5 22 30
2 17 43
19 30 3
10 26 40
35 16 28
15 22 43
25 14 30
35 7 53
6 30 30
24 49 15
16 30 34
35 30 2
21 28 18
28 38 15
35 24 1
7 30 27
31 26 22
40 20 14
35 22 17
22 25 28
25 16 30
35 22 8
26 3 32
14 24 35
21 24 35
35 23 19
24 17 24
4 30 30
29 7 21
15 29 13
24 17 31
35 22 23
5 22 30
34 25 20
25 22 30
14 28 27
41 26 2
30 29 18
19 30 1
28 2 27
35 30 7
12 38 39
26 34 8
35 17 6
31 26 18
13 49 21
13 24 33
10 27 39
28 6 15
35 16 25
19 30 30
29 34 17
12 25 28
35 22 7
9 20 32
35 9 47
29 4 38
10 29 18
26 1 32
35 17 7
21 21 10
