100 945250
31 16 36
26 26 28
16 11 41
21 20 35
24 27 22
4 38 63
26 23 24
16 34 5
16 1 25
40 6 10
16 38 31
27 15 28
31 38 16
16 17 37
24 17 37
5 57 54
27 38 6
10 38 41
32 18 17
10 17 46
16 12 35
31 26 6
53 17 8
32 15 20
33 5 30
6 29 30
21 40 7
40 17 9
3 17 46
26 23 24
16 6 47
42 4 36
16 34 33
28 8 37
26 29 19
27 38 3
16 37 32
16 52 12
32 18 20
27 38 1
32 20 16
29 16 36
16 52 10
28 27 23
44 10 10
16 45 26
11 42 36
27 27 14
32 15 20
10 38 22
33 6 36
28 3 23
33 22 13
16 38 12
21 20 35
22 16 36
33 22 23
33 34 6
26 30 3
16 37 9
24 10 37
32 40 2
32 20 17
5 46 36
26 9 54
4 40 12
16 3 26
26 40 12
16 46 12
27 23 28
32 20 4
26 53 6
28 30 9
27 27 20
27 38 9
58 5 54
12 38 16
27 7 34
4 46 36
13 26 30
26 4 28
16 34 30
1 29 30
23 40 12
16 14 33
16 36 25
24 1 37
40 11 10
32 25 17
27 38 11
27 4 34
27 38 7
26 29 11
44 11 10
28 30 5
16 15 25
18 26 30
32 25 23
24 27 15
26 30 17
