100 968074
14 40 31
15 34 34
30 30 18
10 26 30
20 15 31
17 21 30
31 1 28
33 10 37
33 46 10
28 12 35
12 34 31
14 34 9
20 19 28
20 26 30
22 24 29
33 25 16
13 15 27
25 23 27
6 26 32
22 21 6
9 46 38
37 17 14
22 5 31
28 38 4
33 21 8
22 5 29
1 34 31
27 9 28
23 26 27
50 9 37
25 27 6
37 21 14
31 6 28
19 23 27
25 14 31
15 31 31
30 17 31
6 49 27
15 34 14
39 34 7
36 6 31
14 26 39
19 19 28
37 15 27
28 26 13
25 14 31
19 31 28
16 21 30
1 34 31
37 8 14
25 27 3
22 20 38
16 34 29
25 7 34
19 21 38
30 26 2
50 54 1
3 25 22
25 27 25
17 10 40
50 32 6
27 20 28
50 24 6
13 46 14
6 26 27
30 25 22
4 34 46
50 7 31
11 38 39
17 20 37
41 5 38
22 29 2
25 34 5
7 34 46
14 34 30
4 29 28
30 30 13
50 42 6
17 25 37
22 21 32
50 2 100
20 5 31
18 31 31
19 6 29
15 26 27
31 9 28
33 4 37
36 26 7
33 31 6
4 19 28
11 38 39
28 26 22
17 15 35
19 20 38
17 21 35
19 9 28
20 27 31
19 5 28
19 28 29
7 19 28
