100 937759
15 35 23
19 1 28
27 4 21
38 14 32
26 17 32
14 34 39
4 19 27
17 30 37
19 11 38
15 42 11
10 22 31
43 11 38
37 19 27
38 45 6
6 32 21
21 30 21
21 34 16
23 22 31
28 24 26
21 23 28
7 24 32
12 17 32
8 37 17
5 40 16
33 15 35
21 6 38
28 24 6
29 29 12
14 15 35
62 11 5
44 11 22
35 18 21
5 25 31
38 12 25
1 40 46
33 34 3
26 25 22
38 45 2
32 11 30
62 89 3
38 23 12
38 12 25
44 11 26
10 31 25
35 9 16
9 29 30
14 38 35
33 12 31
3 24 32
38 30 6
15 35 15
24 25 27
15 7 49
35 29 16
21 30 16
29 29 18
47 34 3
17 23 28
21 32 28
47 15 14
6 32 21
7 25 31
24 25 8
18 32 21
23 29 24
26 25 8
27 15 21
38 8 17
38 25 12
21 40 8
14 34 7
38 7 35
18 11 48
38 22 21
17 24 27
21 34 22
41 6 27
14 49 27
15 7 38
20 32 21
19 36 28
26 25 1
1 29 30
21 8 28
24 24 27
23 29 6
24 13 35
30 37 17
28 13 25
19 3 28
30 11 30
33 34 6
62 11 8
35 2 16
40 40 2
12 32 21
33 34 6
7 49 27
28 18 25
27 8 21
