100 959262
16 8 44
35 22 22
28 15 26
18 11 33
18 27 31
16 11 31
17 27 39
18 2 50
49 1 33
19 27 20
49 11 33
18 23 33
24 8 28
15 42 28
21 27 30
18 17 36
18 27 23
14 27 26
30 27 13
9 23 33
21 22 32
32 6 28
16 30 31
33 41 9
57 19 9
18 43 2
18 26 36
45 27 2
18 27 30
8 48 24
43 9 32
21 19 33
28 15 33
18 43 12
33 19 28
43 9 24
16 24 2
24 23 18
33 15 33
4 42 28
21 28 18
25 73 9
32 1 28
18 28 26
32 3 28
32 27 8
18 27 14
14 27 31
1 19 28
3 27 30
9 27 42
3 27 39
18 28 14
18 6 33
28 17 26
3 41 9
9 22 27
21 41 9
57 13 9
18 27 13
21 22 24
18 15 46
45 27 2
33 14 33
18 27 23
11 14 33
7 21 33
26 21 23
18 73 4
16 27 26
18 28 10
18 27 25
15 42 28
24 24 28
26 21 10
2 22 56
36 27 12
8 48 32
2 42 28
26 22 27
24 23 15
16 41 13
35 27 15
28 32 7
23 9 56
19 27 20
8 23 28
21 28 15
10 27 15
26 23 28
12 27 30
7 42 56
19 27 21
18 27 1
8 32 28
18 18 46
16 24 42
18 27 32
38 14 33
8 16 56
