100 967689
26 21 27
31 26 17
12 29 26
15 26 34
6 26 33
33 16 1
15 32 22
28 8 29
21 6 87
17 32 22
23 4 33
13 28 42
21 18 26
34 4 33
66 6 30
20 26 33
28 13 45
4 25 26
25 12 26
41 5 33
34 13 33
14 23 33
8 52 22
15 27 24
4 25 33
12 46 33
14 20 33
30 29 19
21 33 16
33 16 32
13 19 62
13 31 44
6 52 22
15 27 24
41 11 33
27 28 10
27 26 8
66 6 4
12 21 36
34 7 33
13 8 58
27 28 19
30 27 9
23 31 11
3 26 33
28 39 16
26 25 26
27 26 22
34 2 33
43 13 22
24 16 33
13 22 58
3 52 22
13 51 9
16 26 34
8 27 33
33 16 3
26 21 9
28 26 19
12 5 33
13 25 42
40 16 14
4 26 34
33 16 1
14 35 33
38 2 45
87 6 13
21 20 41
13 20 49
40 16 24
33 16 30
21 25 29
10 26 33
40 16 7
27 26 3
28 5 29
5 29 19
40 16 22
1 29 26
31 26 17
21 33 25
38 21 9
11 32 22
4 35 33
21 30 26
13 19 38
49 7 22
3 29 19
35 15 33
14 16 67
25 17 26
21 25 14
28 26 10
66 6 37
8 28 33
21 25 24
13 28 42
21 5 26
14 16 33
6 45 22
