100 976650
35 10 24
4 55 52
15 36 17
37 22 15
25 12 32
25 19 29
18 4 35
35 7 35
10 40 42
35 1 24
25 1 37
25 10 32
25 35 9
25 9 48
22 36 17
5 33 41
29 1 31
37 29 6
3 45 74
44 20 22
23 33 24
31 39 17
37 16 27
18 6 35
13 24 48
31 18 35
12 33 24
25 49 16
26 17 29
25 22 32
30 27 19
29 10 31
18 47 13
25 32 8
31 6 52
35 45 12
18 5 48
44 33 7
25 97 6
25 14 41
25 14 27
4 45 19
31 26 7
37 9 17
1 29 33
30 27 14
30 27 3
16 36 19
6 32 35
39 9 19
25 16 37
25 32 2
25 48 13
30 28 2
26 29 4
30 27 16
35 6 35
22 28 28
37 16 12
13 31 48
37 23 15
25 10 38
8 28 28
25 16 32
44 20 2
26 12 29
31 10 17
10 45 19
25 23 32
18 3 48
31 5 35
7 29 33
29 33 4
25 29 9
23 36 19
3 29 33
10 33 35
39 33 6
29 22 31
29 32 6
11 20 24
25 3 100
10 26 28
18 29 35
30 28 12
72 45 3
27 45 7
10 15 52
18 8 35
29 20 29
17 45 19
29 12 29
21 26 28
44 2 48
48 45 7
25 18 27
35 1 24
25 10 29
33 20 24
5 45 19
