100 952056
34 15 3
35 1 50
23 29 8
7 36 44
28 26 23
12 39 11
24 28 22
7 34 31
23 5 28
15 32 20
19 11 41
19 27 31
20 28 22
19 30 31
19 41 3
34 15 3
9 41 46
25 11 27
38 5 31
28 26 20
15 48 18
39 14 9
25 32 3
23 2 32
22 18 29
28 26 8
39 34 12
37 12 36
7 23 44
19 6 31
16 34 32
4 31 34
35 31 16
34 15 7
10 28 27
35 20 20
13 15 44
20 9 30
13 18 29
15 28 22
35 28 18
35 21 20
12 41 20
23 2 32
19 41 12
11 15 44
23 30 20
35 37 12
22 28 20
15 38 31
8 4 56
3 59 56
10 41 31
11 26 20
65 41 3
35 28 11
31 39 11
25 28 14
17 33 31
17 1 31
35 41 1
18 25 33
19 29 31
25 17 27
23 24 28
25 23 29
19 9 31
11 31 30
13 28 20
35 9 36
8 55 26
7 41 20
34 15 31
8 55 30
15 32 24
18 14 33
17 7 31
20 22 30
43 5 44
7 41 20
28 8 31
37 14 35
15 12 44
35 37 2
25 4 30
15 10 31
23 30 12
54 11 15
25 28 16
11 28 22
10 23 29
39 15 20
14 29 36
35 34 15
19 12 31
2 14 35
31 31 4
25 7 33
37 41 10
35 11 41
