100 955726
20 14 32
23 12 26
20 25 25
2 43 38
34 20 2
42 41 8
35 5 30
23 29 26
37 9 30
25 25 5
25 13 38
35 1 30
23 41 18
6 54 4
42 59 6
8 20 41
29 19 32
25 30 19
37 9 26
13 16 35
32 41 13
20 23 32
29 20 11
34 20 20
31 14 30
10 41 13
20 32 18
35 18 26
31 14 18
5 7 56
27 29 1
35 33 14
8 25 36
25 22 30
29 6 33
4 11 38
42 29 10
29 4 35
53 7 26
35 8 14
29 17 35
2 25 32
6 54 52
25 22 8
24 14 30
34 20 18
1 25 32
42 12 32
30 11 38
24 21 30
53 7 30
35 22 18
10 25 25
29 16 33
42 18 19
11 25 32
13 25 35
27 14 29
31 34 14
27 18 34
14 25 32
25 30 19
17 24 32
17 9 32
37 39 9
27 16 34
27 15 29
25 21 23
11 20 30
13 41 33
29 25 9
21 9 56
30 25 11
25 21 15
1 32 18
11 29 35
5 39 41
29 19 1
29 25 23
42 12 13
17 22 18
18 11 38
27 34 4
25 25 27
20 25 21
27 29 5
7 25 32
4 29 35
7 18 26
11 35 30
37 2 32
34 20 1
29 20 24
8 25 32
20 25 15
58 5 56
20 20 30
19 25 32
31 18 18
17 4 32
