100 958881
10 37 6
60 6 46
9 35 33
9 37 38
22 37 14
35 12 41
14 22 30
56 37 4
4 37 38
22 11 33
27 15 30
40 2 33
23 21 27
15 26 30
2 43 20
33 16 4
15 36 30
8 12 41
30 5 34
33 16 22
33 16 33
20 20 34
22 39 13
30 33 13
11 43 34
25 24 30
9 43 34
7 43 20
14 43 20
4 22 30
25 26 14
40 14 16
25 26 20
28 23 26
10 37 49
23 17 27
27 24 30
22 25 33
3 57 46
25 26 16
4 37 59
30 27 21
6 22 30
6 51 46
6 12 46
15 1 37
17 39 27
25 12 30
14 20 20
55 6 46
28 3 33
43 12 5
24 37 14
33 12 19
40 41 10
3 39 33
22 34 25
60 37 3
5 26 25
40 14 6
15 2 36
46 20 20
6 26 25
33 25 19
5 43 20
11 20 34
40 3 43
2 57 46
32 25 20
10 37 38
23 22 27
10 38 34
2 20 34
32 9 20
40 16 6
28 9 26
40 5 34
22 34 2
13 37 3
30 6 21
27 20 34
40 26 7
32 2 20
27 39 16
33 21 22
16 22 30
40 14 25
37 4 33
15 34 36
7 16 37
40 14 30
32 7 20
13 37 38
22 3 33
17 21 27
22 3 37
40 26 18
40 2 30
15 26 20
28 32 7
