100 959590
10 21 35
10 15 46
45 7 40
4 29 24
13 23 35
38 11 24
17 37 24
17 16 24
24 29 14
21 23 27
21 19 40
24 29 7
15 28 24
23 23 20
45 6 31
10 33 46
6 77 5
3 23 44
35 20 24
11 23 32
13 23 16
10 2 35
33 23 17
29 23 10
45 1 40
10 34 35
17 14 24
26 4 29
39 23 17
10 19 35
29 23 20
18 29 30
9 23 32
14 38 24
24 29 17
24 32 16
10 34 25
4 19 40
22 21 40
8 29 29
24 29 4
12 23 27
22 15 31
16 23 30
4 29 29
24 5 25
45 7 31
45 4 31
17 10 24
2 28 24
27 29 24
6 23 27
7 28 24
45 5 41
21 29 25
23 21 14
20 19 40
30 18 31
21 23 32
2 23 27
13 23 6
23 28 24
45 7 31
13 23 29
4 29 24
41 23 12
23 25 30
23 21 26
90 23 3
26 28 24
24 10 24
76 6 5
21 30 17
10 34 40
14 29 30
24 11 41
21 13 41
24 28 24
90 23 4
4 23 27
7 29 29
27 23 27
21 30 18
21 29 17
32 29 10
13 29 40
23 22 31
23 13 31
10 48 19
26 25 29
15 23 44
21 30 6
22 20 31
24 27 25
13 23 2
10 18 100
10 6 35
15 18 31
22 25 30
23 23 24
