100 959224
19 40 18
36 7 23
19 23 26
30 23 8
32 6 45
32 25 19
19 38 26
1 25 45
21 12 33
2 43 59
30 11 31
13 27 24
19 20 18
19 6 26
25 18 29
19 32 31
25 32 6
2 36 23
25 32 2
3 30 21
19 13 26
31 27 23
15 25 26
19 20 38
18 27 24
11 43 16
19 20 14
19 20 5
25 14 29
50 23 3
33 21 23
34 12 23
23 43 12
32 17 31
18 32 21
16 23 46
28 30 21
25 32 4
11 43 35
24 43 12
10 25 19
19 4 31
20 34 24
30 23 27
25 30 24
19 4 31
19 40 14
10 43 13
33 22 23
14 32 21
32 4 45
14 43 13
2 43 13
19 10 30
30 19 24
32 17 14
20 10 31
24 32 24
21 1 33
19 20 3
30 23 16
6 25 45
34 24 23
40 11 39
7 43 39
4 23 46
19 30 30
24 32 21
21 2 33
19 40 15
25 32 4
32 32 18
21 28 33
32 43 13
60 43 5
1 25 26
30 23 2
12 43 23
2 43 13
6 30 21
21 43 14
19 20 20
21 43 4
21 43 1
7 30 24
31 30 15
48 43 8
21 43 7
31 30 5
21 43 18
19 40 25
8 32 39
26 25 26
26 30 21
19 20 2
30 15 24
20 24 31
30 23 4
30 23 16
10 43 8
