100 954291
14 14 37
6 27 29
35 46 5
14 30 29
25 27 28
32 33 17
1 34 18
16 1 37
35 4 24
5 25 25
6 34 18
2 34 21
18 33 15
18 33 19
3 54 63
8 46 50
35 7 22
16 26 37
31 16 20
17 30 22
24 27 25
11 28 23
21 30 29
7 27 24
35 8 17
17 33 2
35 2 21
31 14 22
18 23 39
21 46 11
35 9 24
3 33 17
35 19 21
23 16 37
20 34 21
10 33 25
14 34 21
4 33 20
37 12 39
35 14 37
31 54 10
35 4 45
35 33 4
5 46 39
26 25 25
17 46 11
31 27 3
18 30 22
16 13 37
20 14 38
24 28 23
25 27 1
16 4 37
31 27 10
31 40 2
49 3 37
25 15 25
25 18 25
2 46 50
28 27 24
31 15 39
29 20 27
31 27 7
12 33 21
35 37 6
35 1 21
23 32 19
35 2 24
31 25 14
30 34 18
35 23 21
31 40 7
29 10 27
35 18 19
35 10 44
35 3 21
31 54 10
23 21 37
16 10 37
6 30 27
31 27 9
35 11 23
31 14 26
20 3 45
35 18 25
1 34 21
3 37 37
31 27 13
7 27 25
20 29 20
35 29 17
23 33 21
27 46 11
18 23 39
23 5 37
5 46 39
62 54 5
20 29 18
17 33 32
23 32 4
