100 961578
51 6 48
18 25 37
11 32 36
17 18 36
82 30 4
18 49 10
29 18 28
28 32 21
5 18 36
25 14 36
27 7 23
29 29 7
12 47 30
28 17 36
27 32 14
36 15 21
11 15 30
30 14 36
18 13 5
2 53 48
29 15 32
3 15 44
16 15 30
18 22 36
12 11 36
18 21 24
18 24 25
42 15 18
29 18 13
31 18 21
18 65 6
18 24 23
15 21 36
18 15 58
15 2 36
31 18 15
18 65 12
18 12 24
29 3 13
29 32 13
28 21 30
23 32 23
29 15 23
13 35 36
82 55 4
18 13 6
27 13 22
34 32 13
56 5 36
29 15 15
12 47 18
39 8 21
42 15 26
18 13 77
3 32 36
32 15 30
36 24 21
28 21 6
18 1 58
28 22 27
18 25 11
12 13 36
27 19 22
11 32 23
29 35 6
11 22 27
41 4 11
18 22 2
14 18 36
15 15 36
5 18 36
23 15 30
1 14 36
19 32 21
29 6 33
18 23 24
24 18 36
55 32 2
15 25 27
18 15 26
24 25 27
3 39 21
18 25 24
27 25 23
5 29 26
14 35 36
13 13 36
12 43 36
14 14 36
7 32 36
35 15 26
29 18 18
29 35 7
18 6 24
41 1 11
8 15 44
8 32 21
24 29 26
43 10 36
18 22 38
