100 967149
32 14 34
25 3 25
15 19 34
25 31 9
8 31 36
3 69 66
22 31 14
37 18 24
25 25 12
25 4 24
53 3 52
22 25 27
16 2 48
18 13 34
32 41 12
18 28 34
12 31 41
16 45 24
17 2 23
10 24 34
8 41 12
17 19 23
26 16 24
28 26 8
8 33 24
2 33 24
12 14 34
25 25 19
30 24 21
20 31 23
25 24 25
17 20 1
8 26 34
2 18 98
3 31 20
22 6 27
26 26 12
5 31 36
17 20 19
9 31 36
25 21 30
53 11 24
15 24 34
28 31 20
27 21 31
16 51 4
25 10 30
25 7 25
11 26 28
17 31 34
25 32 17
19 24 34
21 19 34
26 25 25
17 15 43
9 31 23
3 25 28
17 34 14
2 1 100
17 31 8
53 4 66
25 25 25
17 34 29
16 1 48
2 81 98
53 65 2
25 11 42
22 31 25
22 31 23
27 10 31
25 29 25
30 24 13
17 31 32
16 3 48
22 31 16
27 31 1
17 28 23
28 7 23
8 31 23
17 31 24
26 25 3
25 10 24
28 24 23
25 25 10
16 11 40
26 26 16
17 20 46
6 24 34
28 26 22
25 29 24
53 13 12
8 25 28
14 31 36
25 1 66
13 41 12
16 45 24
26 17 24
37 11 40
18 28 34
1 33 24
