100 947052
27 26 7
27 11 30
13 25 27
44 2 35
27 26 25
30 3 30
2 31 41
32 1 35
3 30 30
1 49 32
19 25 27
27 24 2
27 24 2
16 27 33
13 20 23
39 25 17
9 28 23
38 31 15
27 2 23
27 25 5
21 29 23
13 23 33
12 34 23
5 26 28
25 21 30
4 26 32
19 18 36
24 13 32
48 26 5
27 25 27
27 17 30
23 27 4
16 22 35
25 9 30
25 21 30
11 26 32
38 38 12
44 6 47
48 31 3
32 25 8
17 26 43
16 22 35
31 20 23
27 24 28
30 2 35
26 23 26
32 3 35
46 5 35
31 26 6
8 22 33
27 21 23
27 24 23
48 18 18
8 51 47
27 24 7
23 27 29
27 13 30
27 20 23
27 9 23
29 18 36
24 16 29
9 34 23
26 26 28
26 8 26
24 22 29
12 31 26
9 25 17
6 26 32
28 25 27
6 31 41
48 31 10
13 26 33
17 20 23
24 6 32
38 13 12
12 43 35
24 14 29
31 26 9
2 31 41
9 28 23
24 30 3
20 25 37
32 14 35
31 22 4
30 1 30
28 25 10
27 3 23
44 26 12
1 28 23
48 26 6
14 51 12
35 20 23
21 17 23
27 16 30
27 25 23
7 22 29
6 49 35
48 26 14
44 19 12
30 8 35
