100 921235
13 32 19
32 9 40
24 23 31
25 26 27
24 26 30
24 1 30
24 8 31
7 33 26
27 1 26
34 16 29
24 26 24
16 37 10
26 6 34
24 3 31
16 37 30
13 26 27
28 22 27
16 6 40
38 14 27
50 43 1
19 32 19
42 16 21
23 11 15
34 16 1
38 13 27
24 8 34
34 16 9
13 41 13
24 33 18
31 26 23
24 31 6
31 26 14
3 22 27
34 16 6
31 41 10
13 16 26
42 16 21
36 10 17
24 28 28
26 33 9
21 16 26
26 7 24
3 26 15
26 22 24
13 41 13
27 20 26
24 31 2
12 26 15
26 7 25
31 15 37
24 9 24
26 26 25
24 6 24
27 12 26
32 41 2
42 16 1
24 27 17
13 41 32
3 17 27
23 6 15
6 22 27
26 14 24
31 41 11
42 16 26
24 16 32
32 32 5
24 28 9
24 36 8
38 16 27
34 10 40
36 5 17
14 43 17
76 3 27
24 28 6
20 26 27
19 17 27
1 22 27
24 1 24
18 37 27
24 35 17
32 35 16
24 7 17
24 17 32
22 17 27
32 6 16
20 11 27
34 33 14
32 11 15
24 36 17
32 17 27
34 16 31
8 16 31
36 28 17
24 28 22
34 16 29
24 4 30
32 32 16
24 33 9
26 4 34
24 27 24
