Bin size: 100 100 100
Number of items: 100
Total volume of items: 902641
Items:
24 28 10
29 24 15
11 30 24
26 6 29
4 24 31
22 26 27
10 44 33
33 13 19
28 24 19
29 12 27
25 28 25
39 72 5
29 18 27
28 20 19
10 38 30
28 30 19
43 28 11
61 2 19
12 10 41
10 43 18
2 34 39
39 13 25
39 34 8
39 72 4
29 18 31
24 28 24
17 29 32
20 28 14
23 28 3
20 25 23
39 25 11
22 22 31
23 28 3
10 24 31
10 38 30
10 1 100
25 28 4
19 25 36
38 30 15
12 42 9
15 31 19
23 16 28
11 34 35
43 28 10
3 24 31
28 15 19
18 31 19
23 28 22
10 43 38
39 13 32
39 13 11
21 26 19
3 28 21
29 30 4
26 13 24
17 28 36
39 13 16
25 28 7
34 28 15
37 34 4
1 72 19
17 28 30
17 34 19
43 28 8
15 28 30
10 44 15
3 29 32
20 28 21
19 29 4
23 28 4
13 30 34
26 17 24
10 12 48
23 28 1
11 28 36
10 43 14
1 30 24
18 26 19
20 25 13
22 26 4
5 24 31
22 34 19
23 12 28
23 28 8
38 30 3
10 23 30
21 26 19
28 3 19
38 30 8
1 26 19
29 24 16
12 32 41
28 24 19
15 28 30
3 28 36
39 25 8
26 28 17
26 34 6
10 56 22
19 29 28
