100 943224
18 27 36
32 18 28
12 33 21
19 18 35
9 27 23
25 23 23
28 19 7
15 23 36
28 19 2
1 37 23
18 27 8
46 3 7
4 33 21
8 38 35
22 2 29
11 37 31
19 12 28
23 23 3
54 33 10
11 44 36
14 23 36
46 13 21
46 27 13
32 18 7
46 17 15
46 13 23
31 12 22
5 21 29
54 3 35
23 23 33
27 5 28
22 27 26
35 10 31
9 21 29
10 33 43
46 60 6
46 50 7
22 6 29
13 22 28
21 27 23
3 18 35
6 33 21
21 17 39
28 19 33
34 24 16
30 27 8
46 7 7
19 31 29
27 6 28
16 20 36
9 27 21
18 14 35
27 4 28
41 12 29
20 21 29
54 33 4
28 19 28
28 27 10
46 6 54
41 3 29
28 27 7
3 24 36
30 10 28
14 33 6
28 27 1
32 1 21
30 1 28
27 1 28
46 27 6
5 32 21
46 10 28
30 33 15
17 22 28
20 37 23
25 17 39
2 23 36
11 21 29
5 27 31
6 27 26
4 21 29
18 24 35
14 33 37
31 21 22
5 21 29
24 20 28
8 46 29
5 27 21
54 8 35
25 14 23
22 20 28
23 33 22
46 13 28
6 44 36
32 27 21
5 46 29
22 23 29
27 32 21
46 60 5
21 20 36
34 24 20
