100 951200
15 28 21
20 30 26
5 23 39
32 34 13
29 3 21
20 17 30
28 35 16
21 27 25
15 15 39
7 23 34
10 28 21
10 27 25
32 17 24
40 31 6
13 46 23
13 29 28
32 4 100
19 19 22
20 36 22
35 23 5
36 9 22
9 29 28
12 54 25
32 16 13
23 25 28
45 23 9
19 25 28
8 18 31
23 4 28
43 8 30
4 46 30
24 18 31
3 25 28
32 50 4
32 12 31
9 27 25
15 28 24
20 5 26
29 5 30
29 25 10
20 1 26
1 23 34
28 8 20
27 23 27
32 18 24
32 16 31
27 23 7
1 46 30
28 11 36
8 27 25
29 28 20
17 28 24
32 33 8
8 54 25
36 19 22
19 27 22
23 46 9
29 25 20
21 25 25
10 27 26
28 46 11
11 31 21
40 23 8
22 28 21
32 50 1
13 24 29
28 8 47
22 27 26
13 46 9
32 33 14
32 18 21
10 25 28
20 29 28
32 12 13
14 38 30
23 5 28
13 22 29
14 28 21
48 2 25
21 25 28
32 96 4
29 3 20
32 8 20
29 8 30
32 6 26
23 24 28
32 38 13
40 10 39
15 31 5
20 29 2
11 31 20
15 31 34
32 17 24
15 25 28
45 23 9
36 18 22
27 25 25
32 19 20
32 19 20
28 27 20
