100 954468
42 26 11
25 15 28
21 20 34
14 26 29
58 66 2
2 20 28
15 34 22
24 28 23
25 13 28
32 7 26
25 4 28
9 20 23
16 34 12
35 34 12
24 23 30
42 4 20
23 29 2
6 34 22
26 30 22
25 23 31
21 32 2
33 25 20
7 30 20
24 30 20
3 20 28
7 26 23
27 29 11
15 25 34
21 9 32
1 26 17
16 30 20
25 11 31
42 14 20
33 5 31
29 20 22
42 5 20
32 2 26
26 25 19
27 29 20
7 26 29
19 20 28
17 25 34
21 4 34
42 20 17
21 23 32
21 17 34
16 28 34
21 9 34
27 11 25
24 34 19
17 34 20
26 30 9
9 32 28
23 34 22
14 34 23
23 5 33
16 34 33
18 20 28
16 13 34
20 26 23
24 6 23
10 42 26
23 22 33
33 20 23
14 34 22
32 14 26
7 32 25
42 20 10
23 29 2
23 8 29
26 25 15
19 1 33
42 2 26
13 20 22
11 30 20
34 34 15
42 22 12
9 25 20
7 34 12
24 34 16
19 22 33
24 9 30
6 29 31
20 34 23
23 21 29
58 34 8
19 23 33
42 2 20
42 30 7
16 30 18
42 2 54
27 21 25
41 26 17
15 26 23
21 26 29
19 10 33
32 19 26
42 10 26
24 32 23
17 34 20
