100 963713
14 35 3
28 28 14
14 15 41
54 6 41
24 28 23
55 7 41
16 28 19
27 30 11
22 34 7
27 1 29
20 35 25
34 28 19
14 31 41
27 1 31
32 29 20
25 28 12
26 25 26
22 38 3
7 33 22
25 28 20
12 39 18
32 28 3
6 31 22
27 24 29
12 7 41
17 28 25
4 41 100
14 27 41
17 20 41
15 28 28
3 28 19
27 12 24
1 72 41
28 22 31
12 39 12
6 38 41
17 28 28
32 10 20
15 28 26
32 20 6
28 17 31
32 28 17
8 28 19
20 35 13
4 59 40
31 2 22
24 28 9
15 28 20
9 47 11
20 3 34
27 30 20
53 39 4
13 29 41
54 1 41
25 31 22
4 33 31
9 39 20
13 9 41
38 33 6
20 35 14
7 33 31
14 10 41
26 9 26
9 28 47
20 37 11
32 20 20
12 39 27
27 2 31
32 20 15
22 12 31
21 28 14
20 35 7
20 12 34
9 25 59
27 8 29
22 4 38
22 22 31
26 4 26
2 72 59
5 20 41
13 27 41
14 26 41
25 5 28
4 28 28
27 21 24
22 28 19
12 39 33
9 47 41
15 28 25
4 28 19
20 22 34
26 38 15
13 39 31
25 23 28
4 59 60
12 39 20
24 28 28
2 28 28
20 37 14
14 35 38
