100 950168
40 1 17
27 38 18
30 22 26
9 25 30
60 21 6
30 28 4
25 27 29
38 24 19
32 34 9
40 29 15
11 21 28
30 8 52
40 11 42
3 35 16
26 21 28
16 24 37
25 2 29
6 34 37
40 8 17
7 27 27
40 35 8
6 28 29
30 27 24
37 21 19
5 21 49
37 21 2
10 30 22
2 37 17
30 47 4
1 34 17
8 25 28
1 25 30
27 22 28
27 33 13
30 28 16
30 18 33
8 35 25
20 44 14
17 24 33
24 30 22
32 13 25
13 21 35
13 29 28
40 11 8
40 4 22
13 35 16
34 5 22
4 21 49
30 47 9
14 34 36
14 21 49
22 24 33
18 21 35
5 24 33
27 17 24
8 34 37
24 25 28
24 28 29
6 21 35
13 38 18
40 22 22
10 28 22
30 28 22
20 18 32
32 9 28
3 37 17
23 27 27
20 44 2
25 6 29
20 9 32
20 17 32
1 21 35
40 44 11
40 11 4
32 22 25
40 5 17
2 25 30
27 16 24
30 28 3
40 25 13
40 11 11
35 3 17
30 27 1
60 1 48
6 25 30
30 7 39
27 6 28
6 35 22
24 35 16
13 33 37
14 34 12
40 11 37
6 24 19
27 1 28
22 21 35
40 27 18
22 25 30
46 34 11
15 35 29
40 14 17
