100 926530
10 48 20
19 12 22
15 48 23
22 6 24
12 33 18
30 30 19
30 18 3
10 43 27
41 52 4
19 23 35
41 52 2
19 40 22
10 43 5
26 13 26
14 24 36
10 44 41
22 22 26
41 36 10
44 52 6
3 16 38
39 24 5
26 9 30
15 48 20
16 25 24
10 43 14
8 48 37
60 52 5
30 22 11
30 22 26
25 24 1
11 36 41
30 18 25
41 46 6
20 32 20
10 57 20
10 43 5
15 52 6
26 52 6
29 20 20
29 12 20
30 30 12
41 16 13
10 43 39
30 28 14
30 4 38
60 52 1
30 36 10
8 48 39
25 24 23
26 16 38
22 22 12
15 5 33
20 16 20
19 29 22
60 52 2
30 22 9
41 2 47
30 8 31
30 18 1
25 24 12
30 8 38
26 19 26
30 28 17
5 52 6
12 16 38
34 52 6
15 1 33
6 48 24
30 22 1
31 12 24
26 21 30
26 18 30
19 22 41
29 16 20
10 43 10
26 16 26
2 33 18
15 26 33
31 12 24
30 52 7
19 29 13
26 52 6
10 57 29
8 48 20
22 7 24
60 52 5
22 30 24
15 16 33
31 24 24
2 24 41
30 18 9
15 25 24
32 9 18
10 13 41
22 5 24
31 23 24
41 48 9
30 22 22
22 22 3
5 33 18
