100 958444
12 48 14
20 22 31
21 22 32
29 22 14
27 22 31
18 30 26
18 22 28
6 22 33
14 22 37
12 29 47
39 7 35
18 48 16
12 23 31
23 43 16
12 35 42
35 38 12
22 22 32
31 22 11
51 30 11
29 32 16
18 26 28
23 11 28
8 30 11
1 30 26
21 24 16
23 23 28
31 22 21
45 22 16
18 14 34
16 30 35
1 56 16
7 30 24
18 48 2
23 38 14
18 29 23
18 3 34
53 12 12
37 22 19
35 7 12
29 22 19
30 22 28
39 16 13
18 48 5
18 48 5
12 20 47
37 22 21
4 22 31
16 30 31
12 22 16
35 22 4
10 30 55
23 34 7
40 12 12
18 48 5
12 51 27
39 6 48
53 21 12
8 40 4
12 22 32
39 1 35
18 31 11
1 56 16
40 33 12
39 26 13
8 36 65
12 6 42
15 30 26
8 40 14
2 22 37
28 11 24
49 30 5
12 36 11
2 22 32
26 32 16
12 13 46
39 48 4
18 31 23
23 35 16
8 40 47
5 47 66
5 31 66
7 22 28
11 30 24
35 27 12
45 10 14
34 24 16
28 19 24
15 34 35
1 34 35
8 2 65
22 38 14
12 10 42
12 36 35
13 45 12
3 30 24
18 19 23
35 6 12
8 78 23
12 28 31
15 30 26
