100 961405
10 32 34
27 15 20
24 18 30
27 18 31
39 30 8
9 39 11
6 27 31
27 47 9
27 18 36
27 35 16
29 30 2
7 30 30
23 39 11
1 30 39
27 30 22
29 2 22
33 21 26
39 3 34
24 30 10
33 5 40
30 25 19
29 30 10
27 20 20
38 30 1
32 25 8
2 35 40
27 18 15
24 20 30
17 48 12
39 30 4
24 30 23
73 10 12
21 30 14
30 10 19
18 62 11
71 8 9
33 18 12
27 23 30
27 16 22
2 8 73
16 27 31
27 12 30
20 25 26
33 18 24
33 18 26
46 34 12
2 25 34
27 29 13
4 30 30
5 30 30
27 35 8
10 30 58
33 39 14
5 25 34
33 18 4
17 34 12
27 19 36
16 27 31
18 30 34
40 8 46
27 18 8
2 30 30
21 35 21
5 30 34
17 35 21
28 48 12
27 19 22
7 30 30
73 8 14
39 30 7
28 48 12
24 30 25
27 30 16
40 8 18
23 39 11
9 34 12
21 30 20
29 28 22
31 8 64
11 30 38
27 10 46
24 32 11
27 18 33
27 14 43
27 35 4
8 35 19
27 18 10
2 27 40
27 19 10
24 10 30
39 4 34
27 33 12
27 18 11
38 27 9
1 34 12
24 32 23
27 29 18
24 12 30
27 4 31
12 25 26
