100 963904
32 21 27
21 8 32
5 28 31
36 1 29
17 27 39
12 35 29
15 15 39
24 35 6
14 21 31
13 36 29
36 9 29
32 1 23
10 23 30
29 15 26
20 17 32
32 4 29
32 21 4
9 15 39
14 24 29
32 7 23
6 50 39
29 15 26
6 17 32
18 31 30
32 3 30
24 20 33
21 18 32
19 25 30
32 12 31
26 15 29
27 15 39
32 20 29
32 7 29
24 35 1
26 18 29
42 35 11
32 5 31
32 3 26
26 28 26
32 5 31
32 2 18
21 4 32
44 35 8
6 28 26
21 17 32
18 30 26
18 13 32
21 2 32
29 8 32
10 35 29
32 27 23
32 7 29
27 28 24
28 14 30
23 31 29
44 35 3
12 35 23
32 15 21
32 21 22
17 9 39
4 31 30
26 2 29
21 30 32
32 3 29
45 2 39
28 17 30
26 35 11
13 35 39
14 31 30
15 29 31
21 3 32
24 13 39
20 35 29
12 35 26
32 7 26
36 1 29
27 28 7
32 33 13
23 5 29
18 21 31
32 35 9
13 25 30
17 29 39
18 25 32
36 7 29
36 7 29
47 1 32
24 35 17
32 1 30
24 15 33
22 23 30
24 35 3
36 4 29
32 31 21
47 9 32
14 30 26
29 30 6
17 29 31
18 24 29
21 13 39
