Bin size: 100 100 100
Number of bins: 5
Number of items per bin: 50
Total volume of items: 4539458
Items:
33 14 19
1 40 37
7 35 32
48 26 22
52 9 20
33 29 31
11 27 37
38 10 39
38 26 33
25 4 33
38 6 33
64 7 65
17 19 35
52 1 71
54 12 50
38 5 37
14 64 24
25 53 15
36 24 27
36 21 18
20 32 31
17 42 35
36 15 28
22 32 31
52 22 26
38 19 32
13 19 44
33 9 31
41 21 35
22 40 4
23 50 20
22 32 39
25 37 34
64 36 7
36 26 37
24 15 23
36 16 27
10 36 30
30 40 16
42 1 16
6 19 35
48 15 49
33 38 15
48 20 39
25 3 48
2 36 39
6 42 35
16 12 65
25 31 20
23 13 100
24 32 39
9 40 37
42 16 43
40 2 23
36 26 3
36 18 30
10 45 43
20 30 31
33 22 34
36 21 24
25 36 21
28 26 5
33 33 31
41 21 35
6 35 32
14 20 41
40 38 18
20 38 26
52 27 16
42 24 22
2 46 48
51 9 16
25 36 20
22 40 7
25 31 29
9 43 31
2 8 71
36 24 34
25 27 48
30 30 39
61 32 11
33 9 65
24 33 35
23 10 45
11 45 18
52 40 6
56 49 13
48 24 22
25 31 14
5 20 52
42 29 12
38 2 39
25 19 52
47 20 11
4 36 30
25 5 71
37 36 10
39 36 12
25 37 18
54 8 71
10 27 37
24 49 23
7 38 26
41 45 18
42 29 31
18 33 32
28 38 8
38 29 21
25 19 33
36 1 30
26 36 30
18 32 28
32 36 30
25 13 100
64 36 2
36 34 28
26 32 28
50 19 35
22 35 34
28 36 30
48 50 7
27 40 29
36 36 6
37 50 16
38 1 28
77 15 18
28 26 48
33 22 12
27 40 34
16 35 37
24 13 35
36 15 27
40 27 23
36 17 43
21 12 50
29 35 32
42 13 56
36 15 53
31 26 32
38 19 48
38 2 28
2 33 32
62 9 61
36 24 25
36 25 25
38 8 39
71 9 11
38 29 28
28 38 20
31 7 32
42 20 16
6 76 11
23 34 18
4 46 48
20 38 18
11 7 65
32 20 41
11 59 55
40 35 23
25 40 34
38 33 7
17 66 18
10 67 11
30 38 32
75 12 29
48 15 32
77 5 11
18 30 39
45 46 17
5 35 32
15 29 33
16 32 39
7 42 35
38 19 20
30 2 32
38 17 33
59 12 26
39 36 10
18 32 45
38 15 28
36 21 29
47 19 44
25 38 26
25 38 26
4 42 35
8 36 33
33 46 19
48 35 15
6 59 13
77 19 21
18 33 32
25 40 29
42 13 9
25 30 31
38 29 12
42 32 3
38 6 28
23 29 33
22 40 37
42 32 15
42 24 27
11 59 16
44 32 17
25 34 15
31 13 35
25 36 20
62 9 39
60 28 18
30 27 37
28 38 25
1 27 37
21 8 71
26 35 34
4 40 37
45 16 31
51 13 40
48 6 31
23 43 38
38 2 39
23 43 7
22 35 37
48 1 31
52 20 2
23 34 34
23 33 35
25 38 18
6 33 31
39 10 31
23 37 20
23 20 35
17 19 44
4 19 35
61 35 11
1 35 32
36 21 18
56 10 13
59 12 39
14 50 16
1 20 41
51 13 15
36 24 23
20 46 35
32 36 29
36 26 3
28 36 33
38 26 6
42 35 16
23 34 22
5 36 29
38 28 28
