100 967436
26 10 34
12 23 50
28 22 31
63 30 9
11 30 9
26 29 1
34 22 16
24 34 21
26 14 48
26 18 19
21 17 53
30 8 20
34 1 60
10 27 31
18 47 9
16 23 1
32 23 26
26 4 46
26 26 7
22 23 30
11 23 30
21 17 7
30 36 18
26 18 27
28 29 23
5 23 34
14 21 31
16 23 32
34 22 25
21 15 31
26 34 1
21 2 31
26 14 27
37 17 25
26 29 11
11 22 31
13 23 30
4 34 20
26 34 19
13 17 40
10 36 18
26 26 12
40 12 40
9 21 31
16 23 10
2 47 9
26 6 45
21 18 31
9 34 31
26 24 18
58 23 13
21 22 31
34 30 19
30 26 20
14 22 31
3 23 34
40 12 20
26 29 2
26 21 22
17 23 20
34 13 19
1 21 31
3 27 31
4 23 34
25 21 31
37 17 15
26 14 46
18 21 31
26 20 37
10 34 21
26 26 26
27 27 9
16 23 23
46 26 9
26 21 24
28 5 31
8 47 9
5 23 34
29 23 20
28 29 8
26 20 7
34 3 41
26 29 19
53 17 20
34 16 19
58 23 3
22 21 31
26 14 14
4 21 31
27 27 22
21 20 31
23 23 34
3 17 40
40 12 18
16 34 31
2 23 34
40 40 11
26 29 13
40 8 11
46 21 9
