100 973004
20 33 14
26 11 27
29 10 23
26 9 27
14 19 55
5 21 29
16 28 23
20 33 25
32 12 17
32 33 11
26 30 19
26 23 30
34 13 28
26 5 30
16 38 10
9 38 23
19 21 45
26 6 27
26 11 27
24 33 16
26 21 30
25 21 34
23 20 27
9 36 45
14 43 28
27 17 27
20 29 28
16 38 29
19 20 37
26 3 27
26 42 12
26 21 31
26 26 12
32 20 22
32 20 12
26 21 6
11 41 25
26 5 73
6 38 23
32 33 9
13 36 8
2 36 45
26 26 15
7 25 24
26 10 63
30 21 16
25 21 29
25 25 24
26 24 1
26 5 27
26 2 100
16 36 27
74 5 39
34 3 27
34 3 27
11 33 45
16 38 22
28 15 22
28 23 22
22 33 3
26 21 24
22 33 24
32 24 17
19 20 18
16 5 61
26 24 26
13 28 23
26 17 31
14 29 28
26 12 19
27 14 27
13 36 37
58 5 61
32 33 11
26 20 27
34 5 27
26 24 6
26 24 15
7 36 17
9 20 34
3 38 45
26 5 24
41 20 5
26 24 13
41 20 16
11 41 20
14 43 27
18 33 16
26 28 24
7 31 27
26 9 24
26 21 13
22 33 11
26 5 27
23 16 27
25 21 11
26 2 27
32 8 24
22 33 1
26 10 30
