100 924982
25 11 24
43 6 16
25 20 27
17 30 21
60 12 16
8 28 20
33 30 19
43 7 16
16 29 23
25 27 18
1 29 25
29 18 18
29 9 31
38 22 20
21 10 30
25 24 24
2 30 21
28 10 25
29 1 25
29 26 22
34 27 4
29 8 22
24 27 26
25 30 21
29 5 22
23 11 44
28 23 16
50 30 7
34 11 44
29 24 22
29 15 22
29 17 25
3 59 63
19 30 21
31 21 24
7 21 33
3 59 63
29 16 18
38 21 6
29 39 6
46 18 18
30 28 20
24 27 7
25 28 24
21 30 3
29 37 2
21 20 30
17 41 16
37 30 14
29 18 3
29 6 44
71 59 3
25 4 18
25 20 12
38 3 43
22 30 23
25 18 18
13 29 23
21 39 18
29 17 31
25 15 39
2 30 21
5 30 21
10 27 33
29 2 37
13 30 21
13 30 14
38 8 43
25 20 24
57 11 16
17 11 40
38 9 20
29 10 26
21 30 30
31 21 9
29 6 31
13 11 40
14 11 60
38 27 6
29 5 18
46 2 18
25 10 18
5 30 21
29 14 25
29 29 8
2 59 63
25 39 18
25 24 15
41 11 40
28 19 25
29 35 11
29 18 23
11 30 23
29 25 26
29 23 18
29 37 5
29 34 18
4 27 37
17 30 21
38 21 4
