100 983964
31 16 19
31 5 46
24 18 28
19 25 30
4 59 22
9 24 39
37 17 20
13 28 22
9 9 37
69 5 30
31 48 9
31 21 20
6 46 30
27 24 14
10 17 35
18 25 22
18 25 30
12 24 37
18 24 18
18 28 22
23 28 28
24 24 23
37 24 19
27 25 22
25 24 4
14 35 36
8 35 39
3 25 30
32 17 20
25 17 35
9 50 37
31 21 20
23 3 30
14 24 39
7 24 34
24 34 22
14 24 26
11 27 22
35 17 15
31 11 26
56 1 9
31 11 41
3 24 34
25 24 28
31 1 46
20 7 30
6 24 37
69 24 2
31 9 34
1 25 30
31 25 14
20 31 30
18 24 27
14 35 3
37 24 20
20 8 30
22 29 28
32 7 22
28 25 26
25 24 2
24 24 14
43 2 30
18 24 16
3 31 30
56 14 9
31 7 15
31 29 20
21 27 22
31 28 12
27 24 17
43 13 30
51 24 1
9 59 24
13 59 9
34 17 30
17 31 30
24 24 26
14 35 28
13 24 26
3 25 27
28 25 27
9 29 30
31 19 30
34 17 18
31 22 26
31 3 15
11 25 22
16 24 34
31 23 20
25 44 9
31 9 26
24 17 28
31 10 34
22 29 2
31 38 15
31 5 34
34 17 2
31 16 22
38 35 11
31 44 9
