100 917874
11 42 15
13 8 78
65 8 21
32 5 33
28 19 9
26 30 16
18 34 26
18 13 29
46 8 47
26 30 17
32 32 14
20 34 6
19 8 56
43 6 22
43 40 10
46 6 22
11 42 30
18 16 29
26 20 27
1 34 27
11 64 26
43 1 22
10 30 33
31 34 2
43 5 45
43 10 22
11 34 47
13 34 38
11 17 26
32 18 29
9 34 39
33 18 27
31 24 24
28 19 35
29 7 22
20 18 29
18 47 22
20 34 7
14 35 22
11 12 100
28 2 19
20 34 19
27 13 22
37 9 35
43 2 22
89 1 100
20 34 16
28 9 20
3 30 33
3 33 22
18 13 26
31 34 12
6 40 35
11 39 34
5 34 51
25 32 19
7 32 19
33 9 22
11 8 78
39 12 40
28 27 20
32 2 33
20 33 22
23 31 18
11 39 31
23 31 14
28 34 19
14 34 13
18 57 1
43 12 5
29 17 22
46 8 9
18 28 29
28 19 1
27 12 22
31 10 24
28 2 45
11 39 9
14 31 35
33 16 27
11 42 29
20 16 29
11 7 74
33 16 22
8 27 33
31 27 11
26 14 27
31 27 22
65 8 1
20 34 1
9 34 39
30 34 13
27 20 22
11 7 26
28 36 6
11 34 4
32 18 4
18 10 48
23 31 3
4 12 40
