100 966726
8 37 46
6 35 34
28 16 37
10 32 23
28 29 9
29 16 34
37 15 29
24 22 33
32 24 4
30 46 5
31 18 21
3 23 26
30 35 14
32 26 5
30 22 20
28 29 3
4 24 30
28 30 16
37 15 32
29 19 34
23 32 23
10 57 30
32 26 9
10 26 32
28 1 37
8 35 44
28 24 26
20 37 20
37 15 16
30 27 1
46 35 9
37 15 11
23 18 46
28 24 4
26 37 11
19 28 28
11 19 31
31 18 25
37 15 6
37 15 8
36 6 46
20 37 5
30 15 32
32 24 5
30 7 28
11 35 9
25 19 31
10 21 50
30 46 5
24 22 13
20 37 19
32 24 7
24 23 26
62 15 17
1 32 34
36 19 2
3 35 53
37 15 2
38 35 10
30 22 1
30 27 23
26 27 26
30 27 1
10 57 20
9 23 26
37 15 30
33 32 11
10 43 38
36 23 13
10 43 28
30 46 1
30 22 16
11 28 28
30 11 42
28 4 37
32 50 7
4 27 28
7 8 46
28 15 17
3 35 34
36 5 46
47 8 46
3 15 32
28 20 16
30 22 9
28 12 25
26 10 29
10 36 50
26 27 2
36 19 13
30 12 53
11 35 44
20 15 32
28 17 25
26 19 29
2 32 34
16 15 51
22 26 32
10 43 34
26 8 35
