100 0.9944640000000001
54 5 20
33 11 35
24 25 56
1 6 44
1 14 44
14 25 5
13 75 9
1 8 44
2 29 29
17 8 1
42 16 35
58 46 56
1 4 9
1 4 8
1 16 40
58 1 14
54 5 3
52 19 44
12 6 9
33 46 35
39 3 9
7 6 8
1 14 35
5 9 24
58 75 19
18 7 5
2 6 44
1 21 9
1 11 33
4 24 20
2 67 2
3 16 56
3 9 56
20 75 3
1 25 56
2 3 39
58 6 23
4 11 11
4 75 11
33 25 1
4 14 44
18 1 9
23 2 7
11 2 35
20 75 4
2 19 44
4 11 8
2 29 27
1 6 8
58 1 30
5 25 56
6 67 2
56 29 56
24 7 5
1 67 2
18 75 11
7 6 1
4 5 21
1 4 36
14 1 7
1 7 39
5 32 9
58 1 32
3 8 44
37 32 9
25 8 2
53 9 24
9 25 56
4 11 14
11 16 44
2 25 12
1 7 39
4 24 24
24 2 24
7 67 2
30 8 44
29 8 44
14 1 7
31 25 12
21 1 9
28 25 5
5 2 7
9 57 15
33 25 23
5 11 11
20 75 5
26 67 1
22 75 1
2 10 5
1 16 4
33 25 1
45 75 9
42 32 30
26 67 1
17 8 1
42 27 44
1 11 35
55 75 16
3 1 44
42 73 7
58 16 56
58 2 32
9 57 20
33 25 7
50 5 21
