100 0.8614290000000001
4 28 4
11 5 3
13 23 3
6 1 31
11 1 34
2 2 6
14 3 5
14 3 8
1 23 3
1 42 1
1 2 6
1 35 87
4 59 4
7 41 13
4 5 45
2 29 39
4 31 4
2 25 87
1 59 7
48 59 9
20 4 14
22 41 13
52 14 8
2 59 10
9 41 9
4 11 1
3 2 3
27 15 87
37 15 13
29 49 87
49 5 9
48 32 3
6 1 52
45 36 13
12 14 1
1 45 13
5 2 52
2 59 9
16 1 34
15 12 1
37 19 13
11 11 1
10 2 52
7 35 87
4 5 42
9 41 1
49 4 9
1 4 3
3 59 6
48 8 10
52 23 87
48 8 3
3 7 9
52 6 87
40 6 1
1 23 3
15 10 77
15 2 87
2 36 13
1 14 13
48 1 13
24 23 4
1 59 2
13 35 87
27 26 87
1 17 1
4 59 3
1 4 11
37 25 13
14 16 13
1 29 48
2 59 9
5 36 13
16 1 16
29 10 87
13 23 1
2 59 10
48 59 1
5 2 87
21 2 52
1 59 11
3 2 37
14 22 13
52 12 87
37 59 77
9 41 3
13 2 3
21 4 21
15 3 87
11 18 3
1 29 48
5 1 34
1 59 5
6 1 21
40 8 1
15 12 77
2 23 3
13 2 34
