100 0.987952
30 1 2
9 19 1
65 7 1
6 3 1
30 1 2
16 9 1
2 18 7
5 7 1
16 34 3
26 52 72
5 1 1
35 1 1
13 53 3
26 52 21
52 40 4
13 22 7
1 19 1
10 1 6
1 34 1
65 4 3
10 93 1
2 18 7
4 1 4
54 4 2
11 3 1
49 7 43
25 66 7
65 2 3
6 1 1
25 27 4
16 25 1
2 5 1
1 34 6
20 2 12
7 7 2
7 19 2
3 19 1
32 1 22
8 37 7
5 19 1
23 1 10
65 1 3
17 7 2
65 5 22
18 53 7
39 23 93
3 7 1
6 1 4
2 2 1
39 70 93
2 16 7
1 53 7
16 34 4
12 19 1
1 93 93
9 1 22
11 7 92
50 1 2
10 7 1
16 7 20
52 40 3
11 4 1
16 53 1
33 1 10
10 93 6
35 1 2
65 7 15
13 2 1
11 7 6
24 7 5
16 1 23
9 19 1
12 19 1
1 2 1
24 7 35
11 1 1
35 1 1
3 34 7
5 1 1
16 34 1
3 53 3
15 1 2
2 37 7
23 1 22
8 16 7
26 41 93
16 53 1
3 19 2
6 1 1
1 19 1
55 7 1
6 7 1
34 93 93
9 18 7
24 7 58
13 2 11
