100 0.7434169999999998
58 1 2
15 60 25
29 59 11
26 1 14
29 19 11
14 5 37
1 2 13
42 5 51
58 18 8
58 1 13
57 15 21
12 75 1
1 20 32
15 9 51
29 1 11
31 1 14
35 2 9
3 20 41
15 1 20
3 7 1
18 2 6
7 7 10
4 1 33
4 75 51
17 80 38
1 15 21
13 1 24
4 73 18
15 1 1
58 18 5
14 12 43
11 3 14
11 14 51
58 1 6
1 20 5
1 2 1
26 4 15
1 20 37
13 1 6
23 17 8
35 18 7
14 15 37
58 1 4
7 17 24
3 1 15
14 20 12
20 2 18
1 20 1
15 5 1
12 75 6
9 1 13
26 61 14
20 3 14
40 2 6
15 20 42
19 80 14
58 20 7
5 41 37
4 61 37
58 1 24
26 3 14
45 1 6
45 1 8
11 80 14
1 2 14
12 75 31
20 1 15
12 75 7
58 19 8
3 80 16
12 75 1
24 5 15
1 12 43
4 1 18
12 7 43
10 61 37
4 80 5
43 80 43
12 64 5
20 2 24
3 80 12
2 20 4
22 80 10
15 80 38
8 5 15
15 1 11
20 7 42
58 20 7
4 2 33
15 5 50
20 1 42
45 1 16
1 20 27
3 61 37
15 1 11
58 1 24
58 61 8
25 20 49
12 11 5
22 17 24
4 3 33
58 16 14
15 60 18
6 17 11
