100 0.968955
9 58 9
32 40 1
49 24 4
25 42 60
11 5 56
8 13 9
67 24 10
1 2 10
1 1 74
2 58 1
6 1 16
19 36 9
1 40 1
12 2 74
7 10 74
24 1 2
1 1 12
8 1 45
67 42 26
33 1 6
7 24 24
39 58 74
65 58 16
32 1 46
1 1 17
67 12 65
11 53 56
33 1 3
6 1 16
7 1 2
33 58 1
33 40 16
9 58 56
28 58 56
33 2 9
25 7 13
16 6 74
8 25 9
8 58 31
8 6 74
32 1 28
2 2 16
31 2 2
1 2 2
31 1 2
42 35 9
25 35 13
65 58 9
20 13 9
18 24 4
3 38 9
1 1 12
28 58 14
23 58 1
6 36 9
31 1 10
67 24 7
33 58 25
1 3 74
31 1 10
1 58 74
1 58 1
5 1 1
11 58 1
33 2 3
1 34 74
25 42 1
8 1 1
32 5 74
28 58 4
67 24 3
42 1 5
33 1 8
22 38 9
1 2 1
7 24 50
1 2 2
67 24 41
1 2 1
4 58 74
2 58 1
7 6 74
2 58 25
20 45 9
34 1 1
42 1 4
1 1 41
25 1 1
