100 0.9911440000000001
5 6 1
58 51 1
2 1 35
2 13 90
41 1 1
5 9 89
84 38 10
11 49 1
41 37 2
84 38 17
11 62 90
5 1 10
1 38 18
6 3 1
58 11 1
11 13 1
8 12 10
41 1 1
5 11 2
6 2 1
3 2 7
16 10 90
8 1 3
8 48 3
2 13 63
7 1 1
3 1 10
8 11 10
3 4 90
14 62 1
1 62 1
2 4 4
1 45 90
18 11 90
14 21 7
8 30 2
16 26 1
43 38 20
2 21 7
5 10 55
6 13 63
66 11 90
3 1 7
2 1 7
5 7 55
2 4 3
1 4 35
84 38 15
22 62 1
1 2 79
2 13 35
4 5 7
28 51 1
8 48 7
2 5 6
2 4 90
84 38 20
4 45 90
8 15 45
84 28 90
1 5 1
16 15 25
7 15 45
84 23 90
5 11 8
22 62 3
8 1 1
1 13 35
8 1 3
4 4 6
16 15 3
3 2 7
2 16 35
5 15 17
1 15 45
1 5 6
84 38 10
2 4 35
8 13 27
8 8 8
34 51 1
16 26 2
62 11 1
84 38 8
40 38 18
62 62 8
11 15 17
1 1 1
8 12 10
5 1 10
8 22 8
8 2 6
3 32 10
5 3 1
