100 0.9858520000000002
1 72 8
13 72 23
23 23 30
1 3 19
1 20 7
5 72 1
2 4 1
65 11 9
23 48 24
2 10 7
2 11 10
85 46 6
2 13 19
2 2 19
31 26 8
1 62 8
23 24 81
1 15 74
1 2 1
68 11 8
4 1 19
1 2 19
85 46 1
1 2 18
2 3 8
3 26 8
2 10 1
9 11 4
1 64 81
1 72 12
1 72 1
2 24 19
2 48 8
23 48 9
1 2 19
2 18 8
90 24 1
1 11 19
9 3 25
90 24 7
14 72 2
4 11 19
6 10 19
65 11 1
1 8 5
9 23 39
54 72 23
9 2 81
90 48 7
1 2 10
71 72 3
9 26 42
1 62 8
1 52 7
2 11 19
6 1 19
2 1 6
4 3 19
1 31 2
23 19 30
90 27 81
23 48 18
4 24 19
1 1 9
9 9 15
5 17 19
2 24 19
4 1 19
5 72 3
1 1 19
21 26 3
2 4 7
8 41 2
23 6 30
9 3 14
2 1 2
90 1 81
85 46 1
9 16 81
1 72 12
1 72 6
7 31 2
2 1 1
9 56 81
9 72 1
1 28 3
2 3 8
2 4 11
21 26 5
9 2 15
8 72 5
90 48 1
4 1 19
1 11 10
85 17 19
1 1 9
67 72 58
1 28 4
1 8 76
1 13 74
