100 0.994012
16 90 45
5 25 35
57 10 36
20 13 15
1 18 5
29 10 42
11 7 1
3 12 5
18 3 17
10 1 1
14 3 23
8 10 45
1 90 24
1 90 7
14 10 13
15 2 15
1 90 15
3 12 6
18 2 6
14 1 9
1 2 18
18 3 5
27 8 4
7 17 11
6 90 45
1 90 2
65 90 18
2 6 14
5 14 29
15 16 15
2 2 1
2 9 45
3 3 1
42 10 1
14 1 28
17 36 15
57 10 8
11 3 1
27 1 4
12 10 45
2 2 17
20 41 15
18 2 5
14 1 1
1 2 18
7 1 11
1 18 11
48 36 55
71 54 40
3 87 33
4 1 1
1 1 1
8 36 15
1 90 30
9 54 15
12 14 6
7 87 33
2 1 45
23 36 55
18 1 11
12 51 28
8 87 19
14 1 1
7 14 29
2 18 11
14 1 1
1 18 11
10 90 33
71 10 55
4 10 45
3 10 45
2 6 11
65 90 4
12 51 7
12 90 10
8 87 14
1 2 1
1 18 6
1 4 18
65 90 23
1 25 35
29 90 4
17 36 15
2 1 9
29 90 9
29 90 9
12 2 9
27 9 4
29 10 13
12 6 32
2 25 35
