100 0.9553900000000001
1 4 1
10 37 1
6 37 3
4 37 85
73 19 8
2 6 4
1 37 61
1 31 1
8 8 8
85 9 49
1 13 33
2 30 5
3 23 2
12 8 9
85 19 29
94 62 5
68 9 2
26 16 1
1 21 6
1 14 2
1 1 41
10 30 2
2 37 6
3 5 21
5 8 95
1 4 5
10 7 3
85 12 95
1 3 4
1 37 2
4 8 8
14 9 7
5 3 49
5 35 5
94 63 95
1 4 3
5 6 49
6 37 1
1 5 41
1 23 4
1 1 7
1 3 5
1 23 2
1 42 95
85 1 49
1 4 5
2 14 1
3 1 21
58 37 5
15 19 9
9 37 95
94 1 5
1 20 15
1 2 5
1 2 7
2 14 3
85 6 28
54 9 7
1 63 47
3 34 5
1 3 1
20 37 4
1 37 46
1 1 5
1 3 7
1 7 33
2 15 2
3 3 5
68 9 6
43 19 9
1 27 3
15 19 9
26 21 1
12 9 49
1 59 5
4 55 95
2 8 4
1 14 3
5 28 5
1 3 5
1 16 1
1 13 95
2 8 2
82 6 21
1 37 61
1 15 1
2 37 34
10 37 1
12 11 17
1 37 6
