100 0.9880829999999999
38 64 68
1 23 67
1 25 9
40 7 68
25 6 15
3 25 17
54 25 17
41 33 37
5 75 6
39 75 1
38 4 68
3 20 16
1 17 16
29 75 1
41 9 37
11 5 2
1 2 4
18 25 1
41 19 51
29 21 1
1 75 5
1 75 6
3 75 2
59 75 32
10 75 2
10 1 5
1 75 2
10 75 32
41 1 4
26 20 32
12 75 4
1 20 24
4 36 6
35 1 5
12 17 15
23 5 1
17 25 9
11 25 5
12 75 2
2 7 2
1 41 6
11 15 1
41 12 37
27 36 6
30 75 32
2 61 6
38 75 1
28 25 42
41 1 37
10 25 13
11 15 1
48 8 15
13 1 32
1 2 63
48 24 5
9 25 67
17 75 4
4 20 8
2 45 2
3 1 5
3 20 8
19 42 68
1 68 68
20 25 15
1 25 5
23 13 1
1 34 6
38 75 3
10 75 2
2 14 4
10 25 8
7 25 67
41 1 14
47 25 1
1 8 16
39 10 15
11 13 15
31 39 6
31 18 42
29 54 1
1 19 3
39 15 15
41 1 19
25 11 15
2 14 2
18 25 58
1 75 32
41 56 14
19 33 68
11 20 30
1 68 68
1 19 3
47 25 5
41 4 32
1 75 5
1 56 6
2 23 2
31 7 42
2 25 17
