100 0.9863489999999999
1 11 4
9 8 85
1 10 8
53 39 5
30 61 57
1 1 1
21 1 15
46 58 21
26 11 2
26 30 1
1 24 85
89 5 85
49 61 15
26 19 1
1 37 85
1 15 9
1 7 1
1 22 1
1 3 1
1 3 7
1 14 1
3 8 2
3 22 3
53 39 2
98 24 85
1 1 7
7 43 57
3 61 57
7 4 15
3 1 3
2 9 15
1 15 15
22 4 15
46 1 11
1 37 15
1 11 3
3 2 15
52 52 85
26 19 1
41 2 21
1 15 85
19 2 85
46 47 7
1 22 5
16 30 8
1 22 5
1 39 45
98 7 85
3 7 5
5 1 15
1 9 4
1 24 85
1 15 3
3 30 1
89 3 85
46 1 6
1 6 4
7 18 57
1 22 4
16 61 4
33 61 4
52 7 24
1 8 1
53 39 8
1 39 23
3 15 2
26 30 4
3 30 1
49 61 11
5 2 21
2 22 5
1 39 16
6 54 57
1 22 5
21 1 15
33 2 85
1 36 1
16 39 15
1 15 2
1 5 8
13 30 8
52 7 61
1 39 15
1 15 10
1 2 15
