100 0.863065
54 26 5
3 3 94
2 3 94
51 1 17
46 11 2
10 1 4
18 4 1
11 66 72
3 1 94
8 24 39
5 65 1
18 3 94
46 55 84
1 3 25
1 1 24
5 21 2
15 66 94
1 2 1
2 54 1
54 3 1
13 1 94
5 13 3
10 14 2
13 66 94
46 4 6
46 63 2
1 1 70
41 13 3
1 3 76
8 24 55
37 32 3
51 1 14
1 21 2
1 1 70
1 3 16
13 1 37
15 66 72
11 2 94
46 70 6
10 1 25
51 1 4
41 1 4
3 1 94
30 26 3
3 20 1
1 1 94
46 19 84
46 6 1
9 73 3
1 2 1
43 2 94
3 2 53
10 3 44
1 20 1
18 22 1
1 1 1
28 26 1
49 74 6
3 54 1
30 21 2
17 35 3
1 1 24
54 2 94
46 53 2
1 3 1
3 2 40
51 2 9
26 28 22
37 7 3
13 1 57
46 21 94
5 65 4
54 23 1
10 7 2
46 3 94
51 1 55
51 2 85
13 1 94
2 2 1
3 4 64
46 61 3
3 1 94
7 26 3
3 3 25
3 4 30
46 26 1
9 26 3
1 20 1
10 2 25
9 1 3
46 20 1
