100 0.9856180000000001
25 33 68
19 10 4
40 33 8
42 33 1
25 39 5
2 33 4
6 33 15
39 38 14
54 33 22
46 22 23
1 67 51
25 1 6
5 15 29
2 67 29
18 8 60
6 5 1
38 33 5
5 52 29
4 22 2
4 3 5
22 59 73
16 32 19
2 52 12
46 3 10
6 5 2
46 67 44
46 1 10
35 42 12
5 67 2
33 22 37
54 33 73
19 1 1
25 6 68
13 22 37
28 8 60
20 67 2
39 17 24
1 67 1
16 1 19
20 67 3
39 1 18
2 22 2
7 33 5
3 1 9
1 67 1
2 3 5
6 1 1
24 33 8
19 1 1
1 3 1
3 21 10
1 67 16
6 33 3
1 67 16
35 25 12
39 1 24
39 5 73
6 10 1
46 3 11
5 1 9
42 33 5
4 33 13
7 8 73
6 6 3
9 67 27
7 15 15
37 67 15
1 67 5
5 53 38
5 67 33
6 11 1
4 5 51
7 15 58
24 33 7
39 17 10
19 37 4
1 7 51
12 3 5
14 3 73
5 14 38
46 2 11
8 5 13
19 37 1
19 8 1
1 67 5
4 33 1
8 4 9
1 60 51
46 1 1
39 10 24
4 33 3
9 33 5
46 3 26
4 1 51
14 1 6
6 33 2
19 17 5
24 33 4
42 33 3
1 3 4
18 23 73
54 67 27
8 3 73
29 3 2
