100 0.9559140000000002
19 48 4
15 1 27
3 49 11
46 3 22
18 1 63
2 53 37
5 53 5
76 10 5
12 1 28
14 6 58
1 10 24
5 1 28
6 11 46
3 99 1
2 1 14
76 99 5
13 24 24
46 9 34
9 5 53
28 1 37
12 10 24
13 1 8
1 6 4
25 1 26
1 1 24
13 99 4
1 15 24
1 1 1
2 1 28
9 6 5
22 6 4
12 4 24
46 11 2
31 1 37
4 1 14
13 99 1
55 89 32
5 1 6
3 2 34
19 1 1
6 1 8
1 1 23
9 50 20
23 6 1
19 2 4
55 82 63
4 1 7
1 1 7
12 28 37
46 2 5
10 50 20
33 1 37
46 1 5
1 1 49
43 2 34
5 99 37
12 25 37
1 1 14
19 46 37
3 99 38
3 49 11
21 89 32
46 7 24
29 11 63
19 1 37
76 10 27
6 49 13
46 7 3
46 1 27
13 99 1
9 1 53
7 1 6
3 99 38
1 53 32
3 1 24
17 1 37
7 1 63
15 1 36
10 11 24
2 11 24
19 1 26
26 82 63
58 6 63
3 53 32
2 99 1
1 53 32
3 1 43
