100 0.8260799999999999
2 15 7
36 1 72
2 3 2
2 76 1
64 3 17
5 76 1
14 9 72
23 34 11
38 6 17
10 2 28
9 6 63
12 1 23
2 12 3
12 10 60
3 72 23
64 76 2
19 9 72
42 76 22
64 18 72
19 34 8
1 1 3
1 15 12
26 1 72
1 1 23
4 6 63
16 60 24
1 8 28
41 10 28
1 69 9
64 3 11
24 15 36
1 69 10
2 2 44
1 1 6
2 3 3
1 1 23
1 50 49
19 60 24
24 1 72
1 6 72
2 9 2
64 1 28
2 3 1
1 51 23
26 1 72
1 10 49
30 72 23
1 2 28
64 2 28
2 2 44
64 5 28
1 2 44
24 15 36
9 6 63
4 6 63
1 3 25
1 28 48
26 72 25
64 14 48
3 72 25
5 72 25
1 1 9
1 12 49
22 12 24
22 7 28
2 2 1
1 5 72
3 3 4
3 3 68
19 34 3
16 76 1
1 21 23
38 6 55
2 72 23
36 76 28
41 28 48
42 34 37
26 3 9
64 3 28
2 1 1
5 2 44
26 3 9
22 62 48
38 76 1
36 24 28
3 76 1
22 3 28
2 1 40
1 69 6
1 5 72
13 12 24
