100 0.9372619999999999
1 16 19
6 2 17
17 84 1
14 14 8
1 2 8
25 38 63
3 3 1
2 16 19
1 35 62
46 71 1
46 13 1
1 14 1
1 14 8
2 16 1
1 7 53
1 8 81
17 84 11
3 3 42
39 76 19
43 16 13
39 16 6
1 14 1
61 16 2
3 3 38
20 84 12
61 1 63
7 4 19
4 1 17
35 2 81
1 1 10
2 1 9
57 3 19
2 3 81
57 1 19
14 27 50
48 4 19
1 14 5
14 59 10
12 16 79
1 16 5
1 14 1
35 1 30
49 5 66
1 1 4
1 1 3
1 7 4
14 24 18
15 1 1
11 32 8
4 1 17
10 1 2
3 14 10
2 16 2
42 1 81
1 84 62
1 15 10
6 4 19
10 1 2
2 1 16
1 13 3
21 84 50
20 8 19
15 83 1
3 32 8
6 16 13
2 14 16
1 20 62
22 16 19
61 44 63
14 13 8
1 84 1
35 1 81
3 2 81
39 8 81
35 1 14
19 1 81
1 7 5
1 22 62
47 83 18
38 84 1
1 11 8
2 1 7
39 84 12
49 5 66
7 14 19
35 1 81
4 12 19
61 84 18
35 1 37
1 16 19
3 3 81
2 84 50
57 8 19
36 38 63
39 68 6
1 1 8
31 3 81
