100 0.981052
2 4 13
5 15 13
1 82 3
5 69 10
40 2 9
2 1 1
40 1 2
12 95 16
19 8 13
4 2 4
4 2 1
25 1 1
1 4 3
88 18 87
3 48 71
88 2 7
6 10 7
14 1 11
4 2 5
9 95 71
72 1 48
40 54 1
88 52 60
40 3 2
4 45 3
88 2 6
5 5 13
88 52 23
40 7 2
40 1 2
1 5 7
18 19 58
11 1 87
1 20 10
3 17 71
12 1 3
59 26 13
88 52 4
19 22 13
19 1 1
72 1 39
9 54 1
7 1 13
3 4 8
1 20 3
38 54 12
10 2 2
1 4 5
2 4 8
2 20 13
2 1 1
5 62 13
40 54 1
5 17 10
2 1 5
40 9 9
29 54 1
3 5 13
1 1 87
59 1 74
4 41 3
40 4 2
88 1 87
16 1 87
88 2 87
88 3 87
12 1 84
3 30 71
70 19 87
10 9 5
59 4 13
59 1 13
2 1 8
10 9 3
6 1 1
88 2 13
1 5 7
88 3 87
7 14 13
7 10 13
29 1 87
10 5 13
88 1 13
10 9 3
40 27 9
30 14 2
12 3 87
2 20 13
12 1 13
40 2 9
51 1 2
18 19 29
40 14 7
10 14 2
6 10 6
40 38 2
16 10 13
