100 0.987832
1 73 4
1 57 3
14 73 49
1 61 1
8 3 2
11 65 2
17 57 27
1 4 2
1 18 2
3 73 4
1 73 3
64 73 13
51 2 7
29 3 1
2 27 3
35 73 80
10 27 3
52 25 7
8 73 4
30 27 2
2 73 1
1 73 1
2 73 1
36 16 27
1 27 1
2 5 7
7 15 2
14 8 17
1 61 1
1 73 7
1 18 2
2 27 4
14 3 8
59 68 7
64 1 4
39 19 68
1 27 1
1 15 2
2 4 8
64 1 3
14 1 8
29 22 1
39 6 85
1 4 3
1 57 2
14 73 17
22 73 66
11 65 1
16 57 27
29 1 1
30 27 4
14 11 17
1 19 4
1 27 1
12 73 4
29 73 80
1 28 4
1 22 7
11 8 3
1 12 7
43 4 7
3 73 4
2 22 7
2 73 2
1 22 7
7 73 1
6 23 4
4 53 1
1 6 93
4 20 1
3 5 7
1 27 3
29 1 1
6 50 4
1 27 1
5 68 7
10 27 2
36 27 93
1 8 1
25 21 93
1 8 3
10 27 2
10 73 3
23 4 8
1 22 7
25 19 17
21 4 7
39 23 8
24 6 93
