100 0.9855519999999998
10 1 9
1 21 2
3 46 1
2 38 77
2 54 9
1 2 62
9 6 35
17 10 1
12 8 52
5 3 1
2 4 80
7 11 1
1 9 84
4 11 5
16 54 11
12 2 37
17 27 3
27 54 11
12 6 37
1 11 84
1 37 6
2 11 84
47 32 11
22 38 12
2 51 2
9 6 54
1 46 1
1 46 1
1 46 1
2 46 4
5 3 2
10 4 89
3 6 18
2 27 1
1 38 40
75 46 89
1 46 5
6 46 1
2 3 2
8 16 89
18 11 7
22 9 89
51 54 11
5 6 71
4 46 4
17 10 5
18 11 17
4 1 89
1 2 62
2 19 1
1 22 1
16 38 77
10 3 9
31 46 11
3 54 1
17 9 6
1 38 37
1 21 3
1 5 6
1 11 1
14 1 89
1 35 1
1 2 84
8 46 3
3 1 89
1 6 18
5 43 5
1 22 4
1 6 18
1 21 5
3 46 89
13 4 62
17 27 3
2 46 1
47 14 11
1 22 1
14 4 27
3 54 10
13 6 89
1 46 4
7 1 89
5 3 2
8 4 80
3 2 80
3 35 1
14 2 9
1 4 6
3 46 3
22 12 89
1 24 6
18 11 65
11 2 80
1 54 11
1 4 5
7 3 89
78 54 89
3 1 89
