100 0.997596
13 38 1
1 41 1
34 18 5
60 21 6
8 2 60
6 16 2
19 59 71
8 13 30
1 21 8
3 1 30
64 59 1
36 1 2
7 1 30
64 3 12
4 21 22
5 1 30
11 49 71
8 15 88
1 14 6
16 49 71
5 5 9
3 38 1
3 5 9
5 30 88
36 16 2
8 11 30
10 1 79
5 59 58
5 59 12
34 23 5
46 9 3
7 2 3
5 57 23
1 4 3
36 16 4
64 21 58
1 41 11
64 38 10
64 29 3
5 1 2
1 9 3
20 59 17
8 1 30
1 20 12
64 59 1
27 1 88
1 5 12
5 59 4
1 23 24
11 2 88
36 41 88
22 59 17
2 4 28
3 3 26
15 1 2
6 11 7
27 2 88
1 9 6
3 4 30
64 20 76
1 14 12
5 57 23
27 10 71
1 59 71
25 38 1
36 30 12
7 2 30
1 7 2
8 1 30
1 21 8
3 59 58
2 21 8
5 59 1
6 20 30
3 4 2
8 5 14
8 12 60
8 14 22
3 30 88
64 59 5
1 38 1
10 1 79
64 20 12
1 20 30
60 21 24
5 3 2
8 41 7
10 57 56
64 38 2
64 59 1
1 2 12
36 13 4
64 21 4
10 59 9
16 2 88
3 1 26
20 41 7
6 1 7
1 5 3
22 38 1
9 2 3
36 29 6
6 13 7
36 1 2
16 7 1
27 54 88
