100 0.9422569999999999
2 15 96
9 21 30
4 21 17
4 85 1
6 21 8
55 1 1
3 11 59
4 1 4
17 2 96
22 15 3
27 15 39
10 13 4
15 73 1
27 6 57
1 71 4
9 85 59
27 1 3
17 1 74
22 73 1
10 1 2
7 2 2
8 15 1
2 85 1
82 1 16
42 35 59
60 39 59
82 83 16
2 74 59
8 62 59
55 15 96
18 85 1
7 8 2
8 15 3
10 85 2
82 3 21
27 1 13
10 1 4
1 72 4
18 35 59
18 4 96
6 5 4
1 72 36
18 85 1
10 85 1
2 7 59
48 11 59
3 1 4
17 4 22
82 8 1
4 85 1
2 21 30
21 85 1
1 21 8
10 1 2
7 6 2
3 85 1
6 71 4
37 12 1
2 74 59
82 82 21
1 74 59
69 85 1
1 72 56
16 15 96
9 3 57
13 51 47
20 11 59
64 85 1
7 21 9
1 6 96
5 85 1
5 15 3
13 1 49
2 21 47
17 3 74
1 85 1
55 1 14
10 85 1
2 4 59
18 3 96
8 12 59
82 3 1
55 15 3
1 5 4
49 85 1
82 3 1
9 6 57
4 72 96
