100 0.979182
34 1 25
81 7 28
4 1 20
7 4 3
12 1 21
72 1 14
4 3 59
4 3 16
19 78 75
13 1 16
81 86 5
81 95 24
15 1 10
19 4 2
1 1 75
81 32 25
19 1 3
27 95 3
16 2 3
26 52 8
5 4 1
4 1 10
12 1 4
27 1 6
7 1 75
12 2 75
81 72 28
10 52 7
19 13 75
19 60 25
19 1 11
19 3 74
11 5 25
15 1 10
19 1 4
1 1 25
21 4 1
19 35 25
68 1 45
16 95 3
81 4 6
19 1 37
72 1 3
81 55 15
40 1 25
19 5 25
72 4 21
1 3 3
19 1 38
16 1 4
26 1 25
72 1 41
26 52 2
6 1 25
12 1 75
72 1 3
12 1 1
1 2 3
65 4 3
11 1 73
81 40 15
27 1 8
45 1 14
81 9 5
81 4 1
3 1 4
72 4 8
43 4 15
81 16 28
9 4 3
18 3 3
46 4 1
55 46 3
72 3 45
9 5 43
2 3 75
55 6 3
38 5 25
43 4 10
4 1 45
1 3 75
1 1 2
6 1 1
19 3 1
6 3 7
3 1 1
13 2 16
6 3 9
45 52 7
4 1 2
81 1 15
81 44 4
6 1 1
2 2 3
15 1 9
81 52 11
9 5 32
81 3 15
81 8 4
