100 0.9894849999999998
26 1 12
26 36 81
26 6 19
2 1 1
46 9 19
4 6 3
26 28 19
1 1 28
35 6 2
2 1 1
4 1 2
1 1 3
26 13 6
74 16 47
14 4 1
2 3 3
7 1 1
6 3 81
1 1 3
26 9 8
74 23 8
2 5 1
10 2 15
5 1 25
26 22 11
9 1 1
26 42 81
10 5 11
21 22 81
7 2 6
5 11 19
6 1 3
25 2 1
26 1 41
5 1 1
19 21 81
6 5 1
74 1 2
4 78 19
7 1 1
10 9 3
24 2 1
71 62 12
26 33 19
22 3 2
64 2 19
74 62 28
26 13 2
21 11 19
74 6 1
41 6 4
1 5 1
43 78 6
44 1 1
74 78 20
10 4 11
9 2 3
4 6 2
6 2 81
15 1 23
1 1 3
2 2 1
74 6 5
74 62 7
35 6 1
40 1 1
15 1 5
74 1 2
1 5 81
4 6 1
7 3 3
1 1 28
22 3 1
25 6 4
74 3 15
8 6 4
53 22 81
70 78 19
65 1 1
34 1 1
18 3 3
3 62 12
31 3 6
5 1 1
31 78 6
22 3 3
74 2 15
2 1 25
24 2 6
2 1 25
74 55 8
18 9 19
56 3 3
19 6 6
65 1 1
31 1 6
