100 0.951666
19 6 17
4 27 35
9 10 6
37 54 4
4 2 26
17 2 34
2 54 8
67 30 39
35 1 1
17 5 36
26 3 7
24 2 13
35 20 3
28 50 3
33 19 61
23 46 52
12 1 3
28 54 54
18 22 1
17 23 3
1 22 1
7 22 21
33 14 2
14 42 1
67 46 22
10 17 10
1 21 10
8 54 27
19 6 27
3 33 3
1 21 29
67 54 1
4 25 26
10 13 24
26 3 9
28 28 2
17 1 39
1 54 4
67 1 3
18 1 41
20 22 29
3 17 5
23 46 33
12 20 3
33 1 11
1 54 57
33 4 10
3 1 4
29 16 61
33 5 17
37 54 53
5 28 2
3 2 4
3 33 2
2 3 16
23 13 6
10 33 14
20 32 3
65 21 39
9 2 13
1 21 39
29 11 51
33 19 16
67 46 17
19 20 1
10 35 15
17 30 39
11 54 8
33 2 27
33 19 25
1 54 57
10 1 41
10 11 10
5 1 41
8 54 31
3 54 1
3 54 2
33 5 17
29 11 10
33 42 4
20 22 12
20 20 3
35 1 1
33 2 11
6 22 21
1 3 16
7 54 4
3 4 5
1 3 16
14 10 6
3 3 12
44 46 52
13 22 20
47 32 3
28 4 3
20 1 2
16 2 34
17 18 36
14 6 27
23 23 6
14 6 17
34 1 1
10 11 5
67 3 39
